_id,attendanceDate,checkInTime,checkOutTime,createdAt,employeeId,notes,status,updatedAt
69ab11fbd158848c5a8f5684,2026-03-06 00:00:00,2026-03-06 17:42:19.074000,2026-03-06 17:42:28.072000,2026-03-06 17:42:19.074000,69ab11fad158848c5a8f5683,,Late,2026-03-06 17:42:28.072000
69ab11fbd158848c5a8f5685,2026-03-06 00:00:00,2026-03-06 17:42:19.258000,,2026-03-06 17:42:19.258000,69ab11fad158848c5a8f5683,,Late,
69ab175c1c509fe1f1863522,2026-03-06 00:00:00,2026-03-06 18:05:16.827000,2026-03-06 18:55:14.025000,2026-03-06 18:05:16.827000,69ab175c1c509fe1f1863521,,Late,2026-03-06 18:55:14.026000
69ab25ead472b2a06f842e5c,2026-03-06 00:00:00,2026-03-06 19:07:22.312000,2026-03-06 19:24:05.273000,2026-03-06 19:07:22.312000,69ab25ead472b2a06f842e5b,,Late,2026-03-06 19:24:05.274000
69ab31a68556a57c0aa1e785,2026-03-06 00:00:00,2026-03-06 19:57:26.369000,2026-03-06 20:29:31.901000,2026-03-06 19:57:26.369000,697f8b52295e41bd00db4d4c,,Late,2026-03-06 20:29:31.901000
69b1aa955b136c475e20b0b8,2026-03-11 00:00:00,2026-03-11 17:47:01.675000,2026-03-11 21:51:26.207000,2026-03-11 17:47:01.675000,69ab175c1c509fe1f1863521,,Late,2026-03-11 21:51:26.208000
69b1ae355b136c475e20b0bb,2026-03-11 00:00:00,2026-03-11 18:02:29.821000,2026-03-11 18:02:43.677000,2026-03-11 18:02:29.821000,69ab25ead472b2a06f842e5b,,Late,2026-03-11 18:02:43.678000
69b2b0dc3a1ec08adba19b2c,2026-03-12 00:00:00,2026-03-12 12:26:04.152000,2026-03-12 18:01:35.501000,2026-03-12 12:26:04.152000,69ab175c1c509fe1f1863521,,Late,2026-03-12 18:01:35.501000
69b2b3323a1ec08adba19b2d,2026-03-12 00:00:00,2026-03-12 12:36:02.450000,2026-03-12 17:15:25.576000,2026-03-12 12:36:02.450000,69ab25ead472b2a06f842e5b,,Late,2026-03-12 17:15:25.577000
69b2c29b3a1ec08adba19b2f,2026-03-12 00:00:00,2026-03-12 13:41:47.814000,2026-03-12 13:54:05.449000,2026-03-12 13:41:47.814000,697f8b52295e41bd00db4d4c,,Late,2026-03-12 13:54:05.449000
69b313db6278a76ae9efd78c,2026-03-12 00:00:00,2026-03-12 19:28:27.851000,,2026-03-12 19:28:27.851000,69b30c806278a76ae9efd781,,Late,
69b329656278a76ae9efd7b7,2026-03-12 00:00:00,2026-03-12 21:00:21.905000,2026-03-12 21:53:25.979000,2026-03-12 21:00:21.905000,69b316446278a76ae9efd78e,,Late,2026-03-12 21:53:25.979000
69c54d9b984b3a70aa996177,2026-03-26 00:00:00,2026-03-26 15:15:39.354000,2026-03-26 15:24:39.450000,2026-03-26 15:15:39.354000,69ab175c1c509fe1f1863521,,Late,2026-03-26 15:24:39.454000
69c653a8ef1ef6527970b848,2026-03-27 00:00:00,2026-03-27 09:53:44.461000,2026-03-27 09:54:02.358000,2026-03-27 09:53:44.461000,69ab175c1c509fe1f1863521,,Late,2026-03-27 09:54:02.359000
69c7e085eb05d6e048d33852,2026-03-28 00:00:00,2026-03-28 14:07:01.050000,,2026-03-28 14:07:01.050000,69c7df65eb05d6e048d33845,,Late,
69c80178c91f6ef4a583e29b,2026-03-28 00:00:00,2026-03-28 16:27:36.260000,2026-03-28 20:53:55.160000,2026-03-28 16:27:36.260000,697f8b52295e41bd00db4d4c,,Late,2026-03-28 20:53:55.160000
69c8291175508628b695a8f3,2026-03-28 00:00:00,2026-03-28 19:16:33.365000,2026-03-28 19:16:36.557000,2026-03-28 19:16:33.365000,69ab175c1c509fe1f1863521,,Late,2026-03-28 19:16:36.558000
69c932f75b6a4f39f72318e2,2026-03-29 00:00:00,2026-03-29 14:11:03.470000,,2026-03-29 14:11:03.470000,69c84506c64092772f1fe1f2,,Late,
