_id,employeeId,leaveTypeId,remainingDays,totalDays,usedDays,year
69c8444dc64092772f1fe1ec,69c7df65eb05d6e048d33844,696a6fb10b6849bd411eedbf,6,6,0,0
69c8444dc64092772f1fe1ed,69c7df65eb05d6e048d33844,69779726b7473577ad7f0233,30,30,0,0
69c8444dc64092772f1fe1ee,69c7df65eb05d6e048d33844,69783ac8111b105aeac97904,3,3,0,0
69c8444dc64092772f1fe1ef,69c7df65eb05d6e048d33844,69783baa111b105aeac97905,15,15,0,0
69c8444dc64092772f1fe1f0,69c7df65eb05d6e048d33844,69783bc5111b105aeac97906,10,10,0,0
69c84506c64092772f1fe1f3,69c84506c64092772f1fe1f1,696a6fb10b6849bd411eedbf,10,10,0,2026
69c84506c64092772f1fe1f4,69c84506c64092772f1fe1f1,69779726b7473577ad7f0233,28,30,2,2026
69c84506c64092772f1fe1f5,69c84506c64092772f1fe1f1,69783ac8111b105aeac97904,3,3,0,2026
69c84506c64092772f1fe1f6,69c84506c64092772f1fe1f1,69783baa111b105aeac97905,10,10,0,2026
69c84506c64092772f1fe1f7,69c84506c64092772f1fe1f1,69783bc5111b105aeac97906,10,10,0,2026
69c84506c64092772f1fe1f8,69c84506c64092772f1fe1f1,696a6fb10b6849bd411eedbf,6,6,0,0
69c84506c64092772f1fe1f9,69c84506c64092772f1fe1f1,69779726b7473577ad7f0233,30,30,0,0
69c84506c64092772f1fe1fa,69c84506c64092772f1fe1f1,69783ac8111b105aeac97904,3,3,0,0
69c84506c64092772f1fe1fb,69c84506c64092772f1fe1f1,69783baa111b105aeac97905,15,15,0,0
69c84506c64092772f1fe1fc,69c84506c64092772f1fe1f1,69783bc5111b105aeac97906,10,10,0,0
69c92d8d276895ddbb195918,69c92d8d276895ddbb195916,696a6fb10b6849bd411eedbf,6,6,0,2026
69c92d8d276895ddbb195919,69c92d8d276895ddbb195916,69779726b7473577ad7f0233,26,30,4,2026
69c92d8d276895ddbb19591a,69c92d8d276895ddbb195916,69783ac8111b105aeac97904,3,3,0,2026
69c92d8d276895ddbb19591b,69c92d8d276895ddbb195916,69783baa111b105aeac97905,10,10,0,2026
69c92d8d276895ddbb19591c,69c92d8d276895ddbb195916,69783bc5111b105aeac97906,10,10,0,2026
69c92d8e276895ddbb19591d,69c92d8d276895ddbb195916,696a6fb10b6849bd411eedbf,6,6,0,0
69c92d8e276895ddbb19591e,69c92d8d276895ddbb195916,69779726b7473577ad7f0233,30,30,0,0
69c92d8e276895ddbb19591f,69c92d8d276895ddbb195916,69783ac8111b105aeac97904,3,3,0,0
69c92d8e276895ddbb195920,69c92d8d276895ddbb195916,69783baa111b105aeac97905,15,15,0,0
69c92d8e276895ddbb195921,69c92d8d276895ddbb195916,69783bc5111b105aeac97906,10,10,0,0
69c933c85b6a4f39f72318e5,69c933c85b6a4f39f72318e3,696a6fb10b6849bd411eedbf,6,6,0,2026
69c933c85b6a4f39f72318e6,69c933c85b6a4f39f72318e3,69779726b7473577ad7f0233,30,30,0,2026
69c933c85b6a4f39f72318e7,69c933c85b6a4f39f72318e3,69783ac8111b105aeac97904,3,3,0,2026
69c933c85b6a4f39f72318e8,69c933c85b6a4f39f72318e3,69783baa111b105aeac97905,10,10,0,2026
69c933c85b6a4f39f72318e9,69c933c85b6a4f39f72318e3,69783bc5111b105aeac97906,10,10,0,2026
69c933c85b6a4f39f72318ea,69c933c85b6a4f39f72318e3,696a6fb10b6849bd411eedbf,6,6,0,0
69c933c85b6a4f39f72318eb,69c933c85b6a4f39f72318e3,69779726b7473577ad7f0233,30,30,0,0
69c933c85b6a4f39f72318ec,69c933c85b6a4f39f72318e3,69783ac8111b105aeac97904,3,3,0,0
69c933c85b6a4f39f72318ed,69c933c85b6a4f39f72318e3,69783baa111b105aeac97905,15,15,0,0
69c933c85b6a4f39f72318ee,69c933c85b6a4f39f72318e3,69783bc5111b105aeac97906,10,10,0,0
69c934435b6a4f39f72318f1,69c934435b6a4f39f72318ef,696a6fb10b6849bd411eedbf,6,6,0,2026
69c934435b6a4f39f72318f2,69c934435b6a4f39f72318ef,69779726b7473577ad7f0233,30,30,0,2026
69c934435b6a4f39f72318f3,69c934435b6a4f39f72318ef,69783ac8111b105aeac97904,3,3,0,2026
69c934435b6a4f39f72318f4,69c934435b6a4f39f72318ef,69783baa111b105aeac97905,10,10,0,2026
69c934435b6a4f39f72318f5,69c934435b6a4f39f72318ef,69783bc5111b105aeac97906,10,10,0,2026
69c934445b6a4f39f72318f6,69c934435b6a4f39f72318ef,696a6fb10b6849bd411eedbf,6,6,0,0
69c934445b6a4f39f72318f7,69c934435b6a4f39f72318ef,69779726b7473577ad7f0233,30,30,0,0
69c934445b6a4f39f72318f8,69c934435b6a4f39f72318ef,69783ac8111b105aeac97904,3,3,0,0
69c934445b6a4f39f72318f9,69c934435b6a4f39f72318ef,69783baa111b105aeac97905,15,15,0,0
69c934445b6a4f39f72318fa,69c934435b6a4f39f72318ef,69783bc5111b105aeac97906,10,10,0,0
69c9480089315d51bac071d9,69c947fe89315d51bac071d7,696a6fb10b6849bd411eedbf,6,6,0,2026
69c9480189315d51bac071da,69c947fe89315d51bac071d7,69779726b7473577ad7f0233,30,30,0,2026
69c9480189315d51bac071db,69c947fe89315d51bac071d7,69783ac8111b105aeac97904,3,3,0,2026
69c9480189315d51bac071dc,69c947fe89315d51bac071d7,69783baa111b105aeac97905,10,10,0,2026
69c9480189315d51bac071dd,69c947fe89315d51bac071d7,69783bc5111b105aeac97906,10,10,0,2026
69c993e94f15ddb1a957eccd,69c993e94f15ddb1a957eccb,696a6fb10b6849bd411eedbf,6,6,0,2026
69c993e94f15ddb1a957ecce,69c993e94f15ddb1a957eccb,69779726b7473577ad7f0233,0,30,30,2026
